,beta,p_perm,p_perm_fdr0.05,type,color
DNAJC2,0.0005053427618616022,0.0057,False,nosig,grey
CCM2L,0.0005043611190255093,0.0468,False,nosig,grey
FIGNL2,0.0005042738685238318,0.2006,False,nosig,grey
PODXL2,0.0005042525056484967,0.0508,False,nosig,grey
EVI2B,0.0005021196363119527,0.0211,False,nosig,grey
ARSK,0.0005020765690136851,0.0916,False,nosig,grey
TM6SF2,0.0005018151884840295,0.0129,False,nosig,grey
IFNL2,0.0005017451999687638,0.0192,False,nosig,grey
UNC93B1,0.0005015748403577461,0.0544,False,nosig,grey
ESCO1,0.000501437650634379,0.0291,False,nosig,grey
GTF2I,0.0005004904662779703,0.0039,False,nosig,grey
ACP2,0.0005002706452390086,0.0425,False,nosig,grey
TMEM255B,0.0004999231827270505,0.149,False,nosig,grey
SIPA1L1,0.0004995138576836845,0.0322,False,nosig,grey
LDAH,0.0004993891389733134,0.1849,False,nosig,grey
FAM222B,0.0004984998086997763,0.0028,False,nosig,grey
OR2L13,0.0004978678745957307,0.0439,False,nosig,grey
MTREX,0.0004978105787610032,0.0353,False,nosig,grey
DPF2,0.0004976203600663235,0.1065,False,nosig,grey
PER2,0.0004972928915866324,0.003,False,nosig,grey
PRUNE2,0.0004966280590630574,0.0172,False,nosig,grey
FSTL1,0.0004960746295834576,0.0917,False,nosig,grey
ZNF480,0.000495852266770044,0.0079,False,nosig,grey
ZC2HC1C,0.0004958438637567906,0.0773,False,nosig,grey
LDLR,0.0004954823213564064,0.0039,False,nosig,grey
TRAF3IP2-AS1,0.0004941074018173718,0.0616,False,nosig,grey
HECA,0.0004938753481404376,0.0086,False,nosig,grey
STRBP,0.0004930849125880186,0.0124,False,nosig,grey
CLDND2,0.0004926681333804477,0.1876,False,nosig,grey
UBALD2,0.0004924491539161896,0.0879,False,nosig,grey
ATF7,0.0004921607669601505,0.1117,False,nosig,grey
SH2D3C,0.0004918167061612854,0.0241,False,nosig,grey
OTUB2,0.0004910662362025741,0.1113,False,nosig,grey
OAF,0.0004908847156994431,0.1787,False,nosig,grey
LOC400710,0.0004908240207905414,0.1854,False,nosig,grey
PEX16,0.0004907484055155481,0.0173,False,nosig,grey
LGALS3,0.0004903161648198254,0.0176,False,nosig,grey
FLT4,0.0004899483133038829,0.0642,False,nosig,grey
SLC27A6,0.0004897290817166997,0.0346,False,nosig,grey
LINC02470,0.0004897226786850349,0.2447,False,nosig,grey
LETM1,0.0004895479901989525,0.0102,False,nosig,grey
RPS6KA6,0.0004888812444651472,0.0818,False,nosig,grey
WFDC2,0.0004884636579870336,0.0093,False,nosig,grey
TAL2,0.00048828012614526167,0.1167,False,nosig,grey
PFKFB3,0.0004880613546475163,0.1301,False,nosig,grey
BMP2K,0.00048747795510661445,0.0801,False,nosig,grey
A3GALT2,0.00048683114454554775,0.1196,False,nosig,grey
NDST3,0.00048618110438623276,0.0533,False,nosig,grey
RIIAD1,0.0004861083428223188,0.1517,False,nosig,grey
CASC10,0.00048520053777152027,0.1804,False,nosig,grey
SPDEF,0.0004851275863013946,0.118,False,nosig,grey
