"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Slc22a8",0.000219452461161826,8.61599739087961e-06,89,306,3.13549421592915,0.693147180559945,3.51207459715741e-78,2.4423470353692,11.5,71,108,26.2721320573146,20.9586671468465,31.8807894628087,TRUE,TRUE,TRUE,FALSE,TRUE
"Zak",0.000222257463609958,7.50862786910187e-06,77,202,3.13549421592915,0.693147180559945,2.66052384952078e-75,2.4423470353692,11.5,60,95,22.7298221170025,17.7115497015604,28.0432870274706,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd151",0.00033403436879668,2.07492600129354e-05,98,800,3.52636052461616,1.09861228866811,4.96607843274705e-55,2.42774823594805,11.3333333333333,79,118,28.9288645125486,23.3202071070545,34.8327144130688,TRUE,TRUE,TRUE,FALSE,TRUE
"Myl12a",0.000775517304315353,5.92680106870028e-05,247,1957,4.36944785246702,1.94591014905531,1.86608901792012e-138,2.42353770341171,11.2857142857143,217,278,72.9125462714236,64.0567714206434,82.0635136172298,TRUE,TRUE,TRUE,FALSE,TRUE
"Aoc3",9.9234367593361e-05,2.13383017607537e-07,39,6,2.39789527279837,0,1.57888195885884e-66,2.39789527279837,11,27,52,11.5125073060143,7.97019736570217,15.3500097413523,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyba",0.000211656177136929,9.38848528801451e-06,71,356,3.09104245335832,0.693147180559945,5.49944490471142e-53,2.39789527279837,11,55,88,20.9586671468465,16.2355872264304,25.9769395622886,TRUE,TRUE,TRUE,FALSE,TRUE
"Igf1",9.68688727385892e-05,1.68836388694108e-06,51,122,2.39789527279837,0,4.22879371246034e-52,2.39789527279837,11,38,65,15.0548172463263,11.2173148109882,19.1875121766904,TRUE,TRUE,TRUE,FALSE,TRUE
"Mir143hg",0.000100351203360996,9.8127117924164e-09,30,1,2.39789527279837,0,3.79997420756411e-55,2.39789527279837,11,20,41,8.85577485078019,5.90384990052013,12.1028922960663,TRUE,TRUE,TRUE,FALSE,TRUE
"Msx1",0.000104467920788382,8.82229074059773e-07,58,76,2.39789527279837,0,1.32176353609312e-70,2.39789527279837,11,44,73,17.1211647115084,12.9884697811443,21.5490521368985,TRUE,TRUE,TRUE,FALSE,TRUE
"Nrp1",0.000324193099419087,1.8203867373581e-05,93,612,3.49650756146648,1.09861228866811,1.34371181613619e-59,2.39789527279837,11,75,112,27.4529020374186,22.1394371269505,33.0615594429127,TRUE,TRUE,TRUE,FALSE,TRUE
"Osr1",0.00010226517966805,3.39407989033902e-07,64,7,2.39789527279837,0,6.55951659716417e-111,2.39789527279837,11,49,80,18.8923196816644,14.4644322562743,23.6153996020805,TRUE,TRUE,TRUE,FALSE,TRUE
"Prrx1",0.000211842778796681,8.96071270329755e-06,74,386,3.09104245335832,0.693147180559945,4.43251891954012e-54,2.39789527279837,11,58,91,21.8442446319245,17.1211647115084,26.8625170473666,TRUE,TRUE,TRUE,FALSE,TRUE
"Atp1a2",0.00805724378543568,0.000735235639478608,2938,30373,6.69332366826995,4.31748811353631,0,2.37583555473364,10.76,2833,3044,867.275550386407,836.280338408676,898.565954859164,TRUE,TRUE,TRUE,FALSE,TRUE
"Tpm1",0.00288367627688797,0.000264795206438566,1019,6140,5.66642668811243,3.29583686600433,0,2.3705898221081,10.7037037037037,957,1082,300.801152431501,282.499217739888,319.398279618139,TRUE,TRUE,TRUE,FALSE,TRUE
"Ifi27",0.000307585696804979,2.05839777908719e-05,118,1028,3.46573590279973,1.09861228866811,4.04523090750268e-63,2.36712361413162,10.6666666666667,97,140,34.8327144130688,28.6336720175226,41.3269493036409,TRUE,TRUE,TRUE,FALSE,TRUE
"Lamc1",0.000198537247095436,5.16925055317013e-06,66,177,3.04452243772342,0.693147180559945,2.78095155016524e-64,2.35137525716348,10.5,51,82,19.4827046717164,15.0548172463263,24.2057845921325,TRUE,TRUE,TRUE,FALSE,TRUE
"Lims1",0.00030201506560166,1.78106054547069e-05,85,615,3.43398720448515,1.09861228866811,1.08885970630397e-51,2.33537491581704,10.3333333333333,67,104,25.0913620772106,19.7778971667424,30.7000194827047,TRUE,TRUE,TRUE,FALSE,TRUE
"Bmp7",9.37034704979253e-05,4.33111803421114e-07,52,20,2.30258509299405,0,2.97431235491158e-80,2.30258509299405,10,38,67,15.3500097413523,11.2173148109882,19.7778971667424,TRUE,TRUE,TRUE,FALSE,TRUE
"Cmbl",9.18243326970955e-05,1.67964725422813e-06,58,65,2.30258509299405,0,2.13756345173482e-73,2.30258509299405,10,44,73,17.1211647115084,12.9884697811443,21.5490521368985,TRUE,TRUE,TRUE,FALSE,TRUE
"Fstl1",0.000285675556473029,1.74829995680361e-05,101,494,3.40119738166216,1.09861228866811,1.56675262458551e-75,2.30258509299405,10,82,121,29.8144419976267,24.2057845921325,35.7182918981468,TRUE,TRUE,TRUE,FALSE,TRUE
"Fzd2",8.68296840248963e-05,5.91486144682987e-07,49,25,2.30258509299405,0,1.21716153344733e-72,2.30258509299405,10,36,63,14.4644322562743,10.6269298209362,18.5971271866384,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm13889",0.000393067089834025,2.96279856061858e-05,115,787,3.68887945411394,1.38629436111989,1.28525024391098e-71,2.30258509299405,10,94,136,33.9471369279907,27.7480945324446,40.1461793235369,TRUE,TRUE,TRUE,FALSE,TRUE
"Gypc",9.17751018672199e-05,1.06077492470461e-07,33,2,2.30258509299405,0,1.84726749984992e-59,2.30258509299405,10,22,45,9.74135233585821,6.49423489057214,13.2836622761703,TRUE,TRUE,TRUE,FALSE,TRUE
"Ranbp3l",9.41549580912863e-05,1.30333088377481e-06,56,57,2.30258509299405,0,1.57120359967232e-72,2.30258509299405,10,42,71,16.5307797214564,12.3980847910923,20.9586671468465,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc16a12",9.45573386307054e-05,2.96520439802301e-07,34,10,2.30258509299405,0,9.4760741387258e-55,2.30258509299405,10,23,46,10.0365448308842,6.78942738559815,13.5788547711963,TRUE,TRUE,TRUE,FALSE,TRUE
"Sparc",0.00366731842970954,0.000358579582922503,1263,14949,5.90808293816893,3.61091791264422,0,2.29716502552471,9.94594594594595,1194,1333,372.828121217846,352.459839061052,393.491595869667,TRUE,TRUE,TRUE,FALSE,TRUE
"Sdc2",0.00066893396713693,5.78399891195459e-05,198,1506,4.21950770517611,1.94591014905531,2.58236824246083e-114,2.27359755612079,9.71428571428572,171,226,58.4481140151493,50.4779166494471,66.7135038758775,TRUE,TRUE,TRUE,FALSE,TRUE
"Fcgrt",0.000284466807261411,1.9373540815507e-05,102,687,3.36729582998647,1.09861228866811,2.52695781889388e-64,2.26868354131836,9.66666666666667,83,122,30.1096344926527,24.5009770871585,36.0134843931728,TRUE,TRUE,TRUE,FALSE,TRUE
